fundamental_value,benchmark_val,baseline_price,treatment_price
106.31123894711038,103.80525762700182,106.34203282126855,106.34418688841119
107.32739812239755,108.55193743426688,107.41263326722556,107.41446745148266
109.84614351749651,110.3727942948162,111.71145249249365,111.7095835318202
109.82197335288619,109.81635304668231,111.59190053064664,111.59324758687139
110.37248156078674,109.63042181971915,110.82406913572666,110.8246103728817
110.4602829803922,110.45956997572523,110.67127955011199,110.67166043857259
109.66937738702245,109.60590835801385,110.75010411971813,110.7524445839711
107.68524532092387,105.457423157298,109.49736764764607,109.49837939039004
106.92256084238537,107.68181229911029,108.70340023023117,108.70357919153754
105.43928168547593,105.36898973366064,106.24717597268081,106.24826697507463
107.2461091650469,108.73313000084883,107.76054653913901,107.7600470723534
107.1173735190559,103.00035236007929,105.73219631870573,105.73302602558704
106.74213672489915,106.23003270285079,108.40135784191783,108.40054635389598
107.69008589853854,109.2256847332098,109.49269679469151,109.49335534584627
106.4834970598951,105.36355758976853,108.61324593042119,108.61336813420147
105.66475309965931,106.05541798944198,107.33327436950806,107.33390537569373
105.73141927896121,106.84670987164125,106.50628057085714,106.50643033196317
106.81942459140825,106.59999836160767,107.82758324114796,107.82698867081322
107.35130047925587,108.24608415966931,106.99215122697191,106.99111079412656
107.61283124015067,107.99308568256669,106.51087927845344,106.51035051296417
107.69154407819228,108.14410431942844,108.61181548202752,108.6102297911553
108.11802191525139,107.95298977871974,108.13997544668644,108.13921035299931
108.33084834240445,107.74243027883965,110.01689878777799,110.01504246344346
107.21543615705775,107.53138560207425,110.02628147708845,110.02645509548798
107.25948847125606,107.07786146524694,109.63533535512795,110.17743462805018
106.10871034844853,106.35203561071388,107.20411966217179,103.78519390716687
106.18947127210735,106.49467467743963,106.44035097639285,108.99704216519955
105.6750145262335,105.84008001433214,106.03497682127728,107.7564208804054
108.38744921383423,109.83083785587151,108.31055612265216,107.5560781078056
108.33880025758714,105.19604302409759,107.65008014343836,108.61812599153413
106.82275446722518,108.27719139252049,107.10376756052162,107.83978058427947
106.67418174840184,107.63685493362608,106.17931315810158,106.95124689383492
107.22428326638371,106.14310584511239,106.82190436435239,106.92976039879414
109.02818049362581,111.88439963502269,112.77148679937807,107.18947047484687
108.38198243092829,108.10989989590688,107.60197830273592,107.94730864545863
106.67508028783689,106.46521266609537,106.57828362665245,110.23759971618043
107.54463297098201,108.25992852844215,108.24368260192544,109.93873071346873
106.06477207127458,104.02581157913683,108.32229532798694,109.60904525277016
105.59789214804684,105.39352091123278,108.68606744042238,109.66542940571911
105.32093428422198,104.58258165583366,107.49816374511212,107.36074640895808
105.24235895930425,104.6774308597376,105.51921413125191,105.42812946307814
105.96485849737772,107.91660187972244,106.04987298386186,108.50456251914298
105.23765491494179,104.86806382458867,105.56273769594193,108.24700471461648
104.94473520250259,105.15133623896008,104.99158894138354,105.94933431496844
104.92451393004512,104.66102014292474,105.63778718718717,106.58035307404009
105.07634237808759,105.32420132505406,106.19101572783978,106.19690904422318
105.17392706354951,105.36837386851742,106.18731162566036,106.21405574993355
105.62821105508749,105.00971659377463,108.14992532799387,108.15999890346869
106.51798890939878,108.15151553391829,107.64721327141297,108.16516871540757
106.93169027951701,107.28053685419994,108.43952390329028,108.46175857384111
107.41244786042418,107.97563154704876,107.84488650221382,107.88016072720868
105.72103139045419,105.04003846905486,106.63724658338786,106.65132748393395
105.76885739497179,105.83712203501459,106.25656505881587,106.28679912453427
106.27193122446947,106.53430657068235,105.69510650329826,106.05787469874514
107.04406905252692,106.86989553620096,107.14955042557835,107.13837747820023
106.30019313499584,105.80435603093764,107.97017271442131,107.97044517349538
105.59665656804688,106.1476150049594,105.12394242433409,105.1239008420843
104.9869128358371,102.36546597723193,105.64374031253364,105.64418700752859
105.54631293218986,105.88784910223364,105.27179945478781,105.27181127291925
106.63786470556609,107.27509026364575,106.75723611452455,106.75724394155027
106.19893188804555,106.0698045521921,107.49852872801189,107.49902152483774
107.1622106977861,108.13219897347221,106.96044348777438,108.07275921885775
107.28925152452085,108.43513451452769,109.0747434207467,110.22310674274131
107.15063140923068,106.91803263834029,108.2792655525258,109.41823548725452
106.9190250109405,106.41964071430202,104.17826643679085,104.17924783557224
107.71489613905445,109.62570522987892,106.14592226115502,106.0536710410337
108.06076028711477,106.75043851413307,111.6228384235334,111.53041074797403
110.54270517342617,113.1336429191549,111.12956184664864,111.08293667021627
109.59915581040127,109.17576932688257,111.04250492238141,111.07040197853146
110.16295614187716,111.21702461094817,111.3328367492354,111.39716678750443
109.57603358659122,109.08352962953485,110.52572959597337,110.4675158822591
108.62220028005709,110.00214889248572,110.70035491549329,109.70572162177476
108.60496641398498,107.04712823131008,110.88685815253358,109.49204738373643
108.74880294440348,108.48329146652327,109.49650904471154,108.59179333733552
111.96344096476271,112.48399909557997,111.11483862393912,111.06524147620246
111.7518669558529,111.70122508787486,110.6435174982798,113.61528320197452
110.49045670851554,109.5191297195648,109.73370220347064,112.43022113641678
110.78698015411655,111.03084422556636,111.63211509974705,112.6958040901776
108.50680168957176,108.30271464871684,111.89305210022603,112.85149266356734
108.40164797081559,109.85465581072947,109.04228239521007,110.39004634841551
108.41360021738934,106.45663148374976,108.43185528707969,109.81803137693574
109.2730229573043,111.613470972668,108.81732928339584,109.55564940413366
110.33660851777032,110.77116804896083,109.42469975888066,109.4999211210255
109.77689452236648,108.26113921597079,110.21470377824261,111.87389441125617
109.606199137081,109.61437859477194,110.63909968006567,111.56729998525029
108.76425328584438,108.91710634681397,113.02577716842336,110.94991559080583
107.53884170885438,108.24878721919889,113.74854664022521,106.9125627551926
107.86722237639921,107.26769422484703,113.09650847384903,108.23989343781712
106.49682716606397,105.77166078517733,103.15331948790134,107.71265909596741
106.05087415480578,106.33687691056204,105.17172673084576,107.11623978368517
104.99546767575076,104.85832374095352,105.96717301464155,106.40990080354368
105.5689206677967,105.16732099224711,106.63147634835619,106.97161781393292
107.482529393287,110.43565929763913,107.92716731533166,112.14225949337253
106.08731031198289,104.49826231237952,107.48856742490297,111.05816863524637
104.13438749437451,103.36279950725725,106.42896420863548,105.5837919898564
103.9992183843564,103.62994700609374,105.40585392374956,104.61079457895266
104.01034460365632,103.99960363767295,105.11383159798596,104.38699828717398
